Time[s], Channel 0
-0.100000000000000, 0
0.000000000000000, 1
0.000001680000000, 0
0.000002478000000, 1
0.000002858000000, 0
0.000003338000000, 1
0.000003688000000, 0
0.000004168000000, 1
0.000004518000000, 0
0.000004998000000, 1
0.000005348000000, 0
0.000005820000000, 1
0.000006170000000, 0
0.000006640000000, 1
0.000006990000000, 0
0.000007470000000, 1
0.000007820000000, 0
0.000008290000000, 1
0.000008640000000, 0
0.000009110000000, 1
0.000009460000000, 0
0.000009940000000, 1
0.000010292000000, 0
0.000010762000000, 1
0.000011110000000, 0
0.000011590000000, 1
0.000011940000000, 0
0.000012420000000, 1
0.000012770000000, 0
0.000013250000000, 1
0.000013598000000, 0
0.000014078000000, 1
0.000014428000000, 0
0.000014908000000, 1
0.000015258000000, 0
0.000015738000000, 1
0.000016088000000, 0
0.000016568000000, 1
0.000016918000000, 0
0.000017398000000, 1
0.000017748000000, 0
0.000018220000000, 1
0.000018570000000, 0
0.000019040000000, 1
0.000019390000000, 0
0.000019860000000, 1
0.000020210000000, 0
0.000020680000000, 1
0.000021030000000, 0
0.000021500000000, 1
0.000021850000000, 0
0.000022330000000, 1
0.000022680000000, 0
0.000023150000000, 1
0.000023498000000, 0
0.000023968000000, 1
0.000024318000000, 0
0.000024798000000, 1
0.000025148000000, 0
0.000025618000000, 1
0.000025968000000, 0
0.000026448000000, 1
0.000026798000000, 0
0.000027268000000, 1
0.000027618000000, 0
0.000028098000000, 1
0.000028448000000, 0
0.000028930000000, 1
0.000029280000000, 0
0.000029760000000, 1
0.000030110000000, 0
0.000030590000000, 1
0.000030940000000, 0
0.000031418000000, 1
0.000031768000000, 0
0.000032248000000, 1
0.000032598000000, 0
0.000033078000000, 1
0.000033426000000, 0
0.000033906000000, 1
0.000034256000000, 0
0.000034726000000, 1
0.000035076000000, 0
0.000035546000000, 1
0.000035896000000, 0
0.000036366000000, 1
0.000036716000000, 0
0.000037198000000, 1
0.000037548000000, 0
0.000038018000000, 1
0.000038368000000, 0
0.000038838000000, 1
0.000039188000000, 0
0.000039668000000, 1
0.000040018000000, 0
0.000040498000000, 1
0.000040848000000, 0
0.000041328000000, 1
0.000041678000000, 0
0.000042148000000, 1
0.000042500000000, 0
0.000042970000000, 1
0.000043320000000, 0
0.000043790000000, 1
0.000044140000000, 0
0.000044610000000, 1
